Participant Code,Region,log_berpikir,k_numerikal,d_analisa,k_verbal,o_hasil,fleks,s_kerja,m_prestasi,kerjasama,k_interpersonal,pil_jabatan,prosen_kecocokan,hasil_rekomendasi
DCX_222,JAWA TENGAH,2,2,3,2,3,3,3,3,4,3,SALES,95,Disarankan
DCX_223,JAWA TENGAH,2,2,4,2,3,3,2,3,3,4,SALES,91.67,Disarankan
DCX_224,JAWA TENGAH,2,2,3,2,4,2,3,2,4,3,SALES,90.83,Disarankan
DCX_225,JAWA TENGAH,2,2,3,2,3,3,3,3,3,3,SALES,92.5,Disarankan
DCX_226,JAWA TENGAH,3,2,3,3,3,3,3,2,4,3,SALES,91.67,Disarankan
DCX_227,JAWA TENGAH,1,1,2,1,3,3,2,3,3,3,SALES,100,Disarankan
DCX_228,JAWA TENGAH,1,2,3,1,4,3,3,3,3,3,SALES,100,Disarankan
DCX_229,JAWA TENGAH,3,2,4,3,3,3,3,2,4,3,SALES,100,Disarankan
DCX_230,JAWA TENGAH,2,1,3,2,3,1,3,3,3,1,SALES,91.67,Disarankan
DCX_231,JAWA TENGAH,2,2,4,3,2,2,2,4,3,3,SALES,97.5,Disarankan
DCX_232,JAWA TENGAH,1,2,2,2,3,2,3,3,3,4,SALES,100,Disarankan
DCX_233,JAWA TENGAH,3,2,4,3,3,3,2,2,4,5,SALES,90.83,Disarankan
DCX_234,JAWA TENGAH,2,2,3,2,3,2,1,4,3,3,SALES,96.67,Disarankan
DCX_235,JAWA TENGAH,2,1,3,3,3,2,2,4,4,3,SALES,100,Disarankan
DCX_236,JAWA TENGAH,2,3,3,3,3,4,2,2,3,4,SALES,100,Disarankan
DCX_237,JAWA TENGAH,3,2,4,3,2,2,1,5,3,4,SALES,94.17,Disarankan
DCX_238,JAWA TENGAH,3,2,3,3,2,3,1,2,4,4,SALES,94.17,Disarankan
DCX_239,JAWA TENGAH,2,2,2,1,4,3,2,3,3,3,SALES,100,Disarankan
DCX_240,JAWA TENGAH,2,2,3,2,3,2,3,3,2,4,SALES,97.5,Disarankan
DCX_241,JAWA TENGAH,3,3,4,4,4,4,4,4,4,4,SALES,92.5,Disarankan
DCX_242,JAWA TENGAH,3,3,4,3,4,4,4,4,4,4,SALES,92.5,Disarankan
DCX_243,JAWA TENGAH,3,3,4,4,5,4,5,5,4,4,SALES,95,Disarankan
DCX_244,JAWA TENGAH,3,4,4,3,4,4,4,3,5,5,SALES,94.17,Disarankan
DCX_245,JAWA TIMUR,2,1,3,2,3,1,3,3,3,3,SALES,96.67,Disarankan
DCX_246,JAWA TIMUR,1,2,2,1,3,1,2,4,2,3,SALES,94.17,Disarankan
DCX_247,JAWA TIMUR,2,2,3,2,4,2,3,3,4,3,SALES,94.17,Disarankan
DCX_248,JAWA TIMUR,2,2,3,2,3,3,3,3,4,3,SALES,95,Disarankan
DCX_249,JAWA TIMUR,3,3,3,3,3,4,2,3,3,4,SALES,91.67,Disarankan
DCX_250,JAWA TIMUR,3,2,3,3,4,3,3,2,3,3,SALES,91.67,Disarankan
DCX_251,JAWA TIMUR,2,2,3,3,4,3,4,2,3,3,SALES,91.67,Disarankan
DCX_252,JAWA TIMUR,2,2,3,2,3,2,3,2,4,4,SALES,90.83,Disarankan
DCX_253,JAWA TIMUR,2,2,3,2,3,3,2,3,4,4,SALES,94.17,Disarankan
DCX_254,JAWA TIMUR,1,2,3,1,3,2,3,3,3,3,SALES,100,Disarankan
DCX_255,JAWA TIMUR,2,3,3,2,4,2,4,3,3,3,SALES,91.67,Disarankan
DCX_256,JAWA TIMUR,2,2,4,2,3,3,3,3,4,3,SALES,95,Disarankan
DCX_257,JAWA TIMUR,2,2,4,3,3,2,4,3,3,3,SALES,100,Disarankan
DCX_258,JAWA TIMUR,1,1,2,2,3,3,3,3,3,4,SALES,100,Disarankan
DCX_259,JAWA TIMUR,2,2,2,2,4,3,4,3,3,3,SALES,91.67,Disarankan
DCX_260,JAWA TIMUR,2,2,2,2,2,2,2,2,4,3,SALES,97.5,Disarankan
DCX_261,JAWA TIMUR,3,2,4,3,3,3,3,3,4,4,SALES,97.5,Disarankan
DCX_262,JAWA TIMUR,2,2,2,1,4,3,3,3,4,4,SALES,91.67,Disarankan
DCX_263,JAWA TIMUR,3,3,5,3,4,3,2,2,4,4,SALES,93.33,Disarankan
DCX_264,JAWA TIMUR,2,2,3,2,3,3,2,3,4,3,SALES,91.67,Disarankan
DCX_265,JAWA TIMUR,2,2,3,3,2,2,2,3,3,3,SALES,97.5,Disarankan
DCX_266,JAWA TIMUR,1,1,4,2,3,2,2,4,3,2,SALES,97.5,Disarankan
DCX_267,JAWA TIMUR,1,1,4,2,3,3,2,4,3,3,SALES,100,Disarankan
DCX_268,JAWA TIMUR,1,1,2,1,3,3,2,4,4,3,SALES,100,Disarankan
DCX_269,JAWA TIMUR,1,1,3,1,3,3,3,3,4,3,SALES,100,Disarankan
DCX_270,JAWA TIMUR,3,3,3,3,3,3,1,3,3,3,SALES,96.67,Disarankan
DCX_271,JAWA TIMUR,1,2,2,1,2,2,2,4,3,3,SALES,97.5,Disarankan
DCX_272,JAWA TIMUR,2,2,3,2,4,3,3,4,4,3,SALES,97.5,Disarankan
DCX_273,JAWA TIMUR,3,2,2,3,4,2,3,3,3,3,SALES,100,Disarankan
DCX_274,JAWA TIMUR,2,2,3,2,4,3,3,2,3,3,SALES,91.67,Disarankan
DCX_275,JAWA TIMUR,2,2,2,2,3,3,3,3,3,3,SALES,100,Disarankan
DCX_276,JAWA TIMUR,2,2,3,2,3,2,3,3,4,3,SALES,91.67,Disarankan
DCX_277,JAWA TIMUR,3,3,4,3,4,4,3,4,4,5,SALES,91.67,Disarankan
DCX_278,JAWA TIMUR,3,3,4,3,4,4,4,3,5,5,SALES,94.17,Disarankan
DCX_279,JAWA TIMUR,3,3,5,3,5,3,4,3,5,4,SALES,90.83,Disarankan
DCX_280,JAWA TIMUR,3,3,4,3,5,3,3,6,5,4,SALES,90.83,Disarankan
DCX_281,JAWA TIMUR,3,4,5,3,5,3,4,3,5,4,SALES,90.83,Disarankan
